RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15600000,Roberts,550,Germany,Female,47,4,50413.16,2,0,1,73307.05,0
2,15600001,Smith,506,France,Male,54,8,27927.87,2,1,0,163195.29,0
3,15600002,Clarke,780,Germany,Female,57,0,8487.83,1,1,1,27198.35,0
4,15600003,Baker,850,Spain,Female,41,7,106885.2,2,0,0,127951.09,0
5,15600004,Martin,604,France,Male,45,2,0.0,3,1,1,197523.65,0
6,15600005,Davies,523,Germany,Female,37,7,160551.9,2,1,1,179107.96,1
7,15600006,Johnson,435,Germany,Male,45,5,147277.5,1,1,1,134565.48,1
8,15600007,King,627,Germany,Male,42,0,221841.42,1,1,1,158733.44,0
9,15600008,Green,620,France,Male,40,8,85937.0,2,1,1,24178.81,0
10,15600009,White,587,France,Female,41,2,75670.87,1,0,1,100267.92,0
11,15600010,Taylor,671,France,Male,44,10,18487.55,1,0,1,106850.57,0
12,15600011,Martin,688,Germany,Male,36,9,128311.8,1,0,1,156756.46,0
13,15600012,Martin,681,Spain,Male,36,2,96519.38,2,1,0,57236.08,0
14,15600013,Fowler,620,Germany,Male,58,6,125819.65,1,1,0,22190.57,1
15,15600014,Green,544,France,Male,69,3,0.0,1,1,1,139924.65,1
16,15600015,Thomas,714,France,Male,26,6,109338.23,2,0,1,99026.23,0
17,15600016,Wood,651,Spain,Male,25,6,101285.98,1,0,0,168616.52,0
18,15600017,Brown,735,France,Male,28,3,97646.93,1,1,0,96816.45,0
19,15600018,Hill,726,Germany,Female,38,7,52420.38,1,0,1,169407.89,0
20,15600019,Brown,514,Spain,Male,49,2,155412.86,1,1,0,102059.17,0
21,15600020,Roberts,512,Germany,Female,46,9,202766.92,4,1,1,156757.0,1
22,15600021,Brown,577,France,Male,41,10,0.0,1,1,1,144428.29,0
23,15600022,Thomas,549,Germany,Male,45,1,129624.42,2,1,0,53950.43,1
24,15600023,Davies,723,Germany,Male,31,8,0.0,1,1,0,62570.27,0
25,15600024,Jackson,684,Germany,Male,36,10,0.0,1,0,0,179939.91,1
26,15600025,Davies,756,France,Male,39,1,0.0,1,1,0,46970.42,0
27,15600026,Walker,688,France,Female,22,8,0.0,2,0,1,139802.61,0
28,15600027,Wood,670,France,Male,26,10,17783.64,1,0,1,29878.91,0
29,15600028,Smith,765,France,Male,27,2,0.0,1,1,1,151276.52,1
30,15600029,Taylor,695,Spain,Female,47,6,136133.65,3,0,0,45434.68,0
31,15600030,Jackson,657,Spain,Male,42,8,0.0,1,1,1,119219.01,0
32,15600031,Brown,792,Germany,Male,46,3,70228.62,3,1,0,113284.45,1
33,15600032,Johnson,661,France,Male,19,2,0.0,1,1,1,41499.34,0
34,15600033,Wilson,621,France,Male,23,4,176957.68,1,1,0,98789.26,1
35,15600034,Davies,570,France,Male,46,3,113746.86,2,1,1,175970.36,0
36,15600035,Jackson,717,France,Female,18,7,25253.06,1,1,1,136425.34,0
